experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,new_job_title,sqrt_salary_in_usd,Cluster_Label
Senior,Full-time,US,On-Site,US,LARGE,Data Science,368.782,0
Executive level,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,470.106,0
Executive level,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,391.152,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,432.435,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,357.771,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,458.258,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,368.782,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,418.33,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,316.228,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,423.084,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,330.151,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,494.975,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,424.264,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,376.829,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,273.861,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,445.87,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,324.345,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,353.553,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,334.664,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,458.258,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,393.7,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Other,339.116,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Other,293.258,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,406.202,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,374.166,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,372.827,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,325.576,0
Entry level,Full-time,CA,On-Site,CA,LARGE,Data Engineering,201.651,2
Senior,Full-time,CA,On-Site,CA,SMALL,Other,524.404,2
Senior,Freelancer,UA,Half-Remote,UA,SMALL,Other,223.607,0
Mid/Intermediate level,Full-time,US,Full-Remote,US,MEDIUM,Machine Learning,529.811,0
Mid/Intermediate level,Full-time,US,Full-Remote,US,MEDIUM,Machine Learning,387.879,0
Entry level,Full-time,CA,Full-Remote,CA,LARGE,Data Science,227.493,2
Senior,Full-time,US,On-Site,US,MEDIUM,Data Architecture,500.5,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Architecture,399.375,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,380.789,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,339.116,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,374.166,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,346.41,0
Entry level,Full-time,US,Full-Remote,US,MEDIUM,Data Science,360.557,0
Entry level,Full-time,US,Full-Remote,US,MEDIUM,Data Science,268.155,0
Mid/Intermediate level,Full-time,US,Full-Remote,US,MEDIUM,Data Science,306.46,0
Mid/Intermediate level,Full-time,US,Full-Remote,US,MEDIUM,Data Science,227.952,0
Senior,Full-time,CA,Full-Remote,CA,MEDIUM,Data Engineering,418.33,2
Senior,Full-time,CA,Full-Remote,CA,MEDIUM,Data Engineering,367.423,2
