experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,new_job_title,sqrt_salary_in_usd,Cluster_Label
3,2,7,2,7,1,1,354.401,0
3,2,7,2,7,1,1,380.789,0
3,2,7,2,7,1,1,339.116,0
3,2,7,2,7,1,2,447.214,0
3,2,7,2,7,1,2,387.298,0
0,2,7,2,7,1,5,400.0,0
0,2,7,2,7,1,5,346.41,0
3,2,7,0,7,1,1,430.116,0
3,2,7,0,7,1,1,346.771,0
3,2,7,0,7,1,2,524.69,0
3,2,7,0,7,1,2,427.785,0
3,2,7,0,7,1,0,412.311,0
3,2,7,0,7,1,0,353.553,0
2,2,7,2,7,1,0,409.268,0
2,2,7,2,7,1,0,326.343,0
3,2,7,2,7,1,2,500.0,0
3,2,7,2,7,1,2,447.214,0
2,2,7,1,7,0,3,367.423,0
3,2,4,2,4,0,5,651.025,1
3,2,7,0,7,1,3,464.758,0
3,2,7,0,7,1,3,428.952,0
3,2,7,0,7,1,1,424.264,0
3,2,7,0,7,1,1,406.202,0
3,2,7,2,7,1,2,431.161,0
3,2,7,2,7,1,2,359.583,0
3,2,7,2,7,1,1,380.789,0
3,2,7,2,7,1,1,346.41,0
2,2,7,2,7,1,1,379.295,0
2,2,7,2,7,1,1,339.252,0
2,2,7,2,7,1,3,360.555,0
2,2,7,2,7,1,3,300.0,0
3,2,7,0,7,1,2,415.933,0
3,2,7,0,7,1,2,363.318,0
3,2,7,2,7,1,1,456.124,0
3,2,7,2,7,1,1,358.469,0
3,2,7,2,7,1,1,424.052,0
3,2,7,2,7,1,1,379.289,0
3,2,7,2,7,1,1,409.268,0
3,2,7,2,7,1,1,326.343,0
3,2,7,0,7,1,2,524.69,0
3,2,7,0,7,1,2,428.369,0
2,2,7,2,7,1,1,386.782,0
2,2,7,2,7,1,1,319.374,0
1,2,7,2,7,1,2,380.789,0
1,2,7,2,7,1,2,316.228,0
3,2,7,0,7,1,1,435.89,0
3,2,7,0,7,1,1,308.221,0
3,2,7,2,7,1,1,391.918,0
3,2,7,2,7,1,1,326.803,0
2,2,4,2,4,1,2,310.77,1
2,2,4,2,4,1,2,283.692,1
2,2,7,2,7,1,1,357.771,0
2,2,7,2,7,1,1,291.548,0
2,2,7,2,7,1,1,388.587,0
2,2,7,2,7,1,1,374.166,0
3,2,7,0,7,1,2,524.69,0
3,2,7,0,7,1,2,428.369,0
3,2,7,2,7,1,5,469.042,0
3,2,7,2,7,1,5,412.311,0
3,2,7,2,7,1,1,367.423,0
3,2,7,2,7,1,1,324.808,0
3,2,7,0,7,1,1,316.228,0
